@RELATION data

@ATTRIBUTE ponzi {ponzi, non_ponzi}
@ATTRIBUTE nbr_tx_in NUMERIC
@ATTRIBUTE nbr_tx_out NUMERIC
@ATTRIBUTE Tot_in NUMERIC
@ATTRIBUTE Tot_out NUMERIC
@ATTRIBUTE num_paid_in_addr NUMERIC
@ATTRIBUTE num_paid_out_addr NUMERIC
@ATTRIBUTE overlap_in_out_addr NUMERIC
@ATTRIBUTE mean_in NUMERIC
@ATTRIBUTE mean_out NUMERIC
@ATTRIBUTE sdev_in NUMERIC
@ATTRIBUTE sdev_out NUMERIC
@ATTRIBUTE gini_in NUMERIC
@ATTRIBUTE gini_out NUMERIC
@ATTRIBUTE avg_time_btw_tx NUMERIC
@ATTRIBUTE gini_time_out NUMERIC
@ATTRIBUTE lifetime NUMERIC
@ATTRIBUTE size_info NUMERIC

@DATA
ponzi,28,0,3.4e+19,0.0,28,0,0,1.21428571429e+18,0,6.30961365614e+18,0,0.964285714286,0,2710858.75,0,75904045.0,7016
ponzi,18,24,1.34539e+20,1.3451787e+20,18,24,4,7.47438888889e+18,5.60491125e+18,5.33151572297e+18,8.07115141548e+18,0.373923381159,0.694946698036,1469.28571429,8.62009768167e-06,61710.0,2174
ponzi,205,1,7.1e+16,2.1e+16,205,1,1,3.46341463415e+14,2.1e+16,3.62673659402e+15,0.0,0.990862246651,0.0,78350.2621359,0.0,16140154.0,3204
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1900
ponzi,6,2,2.5e+17,1.65e+17,6,2,1,4.16666666667e+16,8.25e+16,4.48763733928e+16,3.25e+16,0.566666666667,0.19696969697,35027.0,4.69101300591e-08,280216.0,2070
ponzi,7,9,4.5e+19,4.5e+19,7,9,3,6.42857142857e+18,5e+18,4.06578556307e+18,4.472135955e+18,0.285714285714,0.444444444444,36.9375,5.80435415701e-08,591.0,2082
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7720
ponzi,48,24,1.50948e+20,1.502064e+20,48,24,9,3.14475e+18,6.2586e+18,3.87464025481e+18,8.43787965546e+18,0.558044823383,0.553186814943,651875.097222,5.87812570616e-07,46935007.0,2118
ponzi,211,3802,5.08100000008e+20,1.7734221609e+21,211,3802,33,2.40805687208e+18,4.66444545212e+17,1.17385572604e+19,9.7916189397e+17,0.61012171539,0.633906085502,21032.7161724,3.54543692348e-05,84404290.0,1532
ponzi,142,199,8.38162738661e+20,8.04114192883e+20,142,199,37,5.90255449762e+18,4.04077483861e+18,1.09462254291e+19,1.12481447215e+19,0.740183973743,0.823089880335,224528.155425,9.48307812251e-05,76564101.0,2150
